Query,GIF ID,Relevance
A sad moment,10c9M4MbWruzOo,Highly Relevant
A sad moment,10IsQsevqktJLi,Highly Relevant
A sad moment,10QDnTeWjie8cE,Moderately Relevant
A sad moment,10tIjpzIu8fe0,Highly Relevant
A sad moment,111FPATNPxHlra,Highly Relevant
A sad moment,115k4KUWBwCNmU,Moderately Relevant
A sad moment,11HxElzKUMmBxu,Highly Relevant
A sad moment,12AjJ896gbVCHm,Moderately Relevant
A sad moment,12CtkDlw4QVnWw,Moderately Relevant
A sad moment,12Krtgm3TZXyne,Highly Relevant
A happy moment,1003Kuq13ICXDO,Moderately Relevant
A happy moment,100afL9qoUSWSQ,Not Relevant
A happy moment,103wxMOQYiCOjK,Not Relevant
A happy moment,10aADbYxnJlc9q,Moderately Relevant
A happy moment,10d3NDzD40xb0s,Moderately Relevant
A happy moment,10ttqzrQQODtUk,Not Relevant
A happy moment,1136UBdSNn6Bu8,Moderately Relevant
A happy moment,11lkl2WndSu3e0,Moderately Relevant
A happy moment,11MrfxzOCYgam4,Highly Relevant
A happy moment,11sBLVxNs7v6WA,Highly Relevant
A heartfelt hug,11UDc8ZTCK8GOs,Highly Relevant
A heartfelt hug,12MH21EAPyrPyg,Highly Relevant
A heartfelt hug,13HBeu0Yxysdry,Highly Relevant
A heartfelt hug,3o6ozthpyPfmo0B5S0,Highly Relevant
A heartfelt hug,3o7qE3XoM5ddZv5lUQ,Highly Relevant
A heartfelt hug,3o7WTDVMidWRDzP9ss,Moderately Relevant
A heartfelt hug,103CvPt2Ka1pMA,Highly Relevant
A heartfelt hug,3o7ZeS4p8rROjZvPfq,Moderately Relevant
A heartfelt hug,3o6Ztf6n7TSvCzXz0s,Highly Relevant
A heartfelt hug,3o7TKPpc6PdzsgJt0Q,Moderately Relevant
Angry reaction,1054NET6HHQX9S,Highly Relevant
Angry reaction,1080AfGtovINTq,Highly Relevant
Angry reaction,10b8K6iRqyOgpy,Highly Relevant
Angry reaction,10ENy3BJ5mVU5O,Highly Relevant
Angry reaction,10UKkSF1haiQ6c,Moderately Relevant
Angry reaction,110gOs75GuUWyY,Highly Relevant
Angry reaction,113y5zr5cQUVdS,Moderately Relevant
Angry reaction,11u8ninRgiwhR6,Highly Relevant
Angry reaction,123FGaz17zAT4Y,Moderately Relevant
Angry reaction,12dA9Gei6U4in6,Moderately Relevant
Feeling loved,1003Kuq13ICXDO,Moderately Relevant
Feeling loved,100afL9qoUSWSQ,Not Relevant
Feeling loved,100buaImlNtEuk,Not Relevant
Feeling loved,103c3dyvMqv624,Not Relevant
Feeling loved,103JnbaqvpBFGE,Not Relevant
