Query,GIF ID,Relevance
A sad moment,115k4KUWBwCNmU,Highly Relevant
A sad moment,10c9M4MbWruzOo,Moderately Relevant
A sad moment,1003Kuq13ICXDO,Not Relevant
A happy moment,1136UBdSNn6Bu8,Highly Relevant
A happy moment,11lkl2WndSu3e0,Moderately Relevant
A happy moment,103wxMOQYiCOjK,Not Relevant
A heartfelt hug,3o6gba124fJkVKDCi4,Highly Relevant
A heartfelt hug,1WveDZAfqlVza,Moderately Relevant
A heartfelt hug,1054NET6HHQX9S,Not Relevant
Angry reaction,1054NET6HHQX9S,Highly Relevant
Angry reaction,11CmfeOyA9pqMM,Moderately Relevant
Angry reaction,1003Kuq13ICXDO,Not Relevant
Feeling loved,108M7gCS1JSoO4,Moderately Relevant
Feeling loved,100buaImlNtEuk,Not Relevant
Feeling loved,10xOn1VHkwievm,Highly Relevant
Excited celebration,11sG4llQDAipGw,Highly Relevant
Excited celebration,12wKtJWXDVpRao,Moderately Relevant
Excited celebration,117hx0F5No4T0A,Not Relevant
Feeling lonely,26BkMgeeCjES3B4FW,Highly Relevant
Feeling lonely,13hdMFVAEgxUf6,Moderately Relevant
Feeling lonely,11UTahCMkYkIzS,Not Relevant
Feeling nervous,3o6ZsSrKkbXbwwbSWQ,Highly Relevant
Feeling nervous,26BRzVJJIPXTExfVu,Moderately Relevant
Feeling nervous,12inVGJ0hTaYY8,Not Relevant
Calm and peaceful scene,103wxMOQYiCOjK,Highly Relevant
Calm and peaceful scene,13t2OTCFzCqJbO,Moderately Relevant
Calm and peaceful scene,1003Kuq13ICXDO,Not Relevant
Shocked expression,13yyvZdx0W6kTK,Highly Relevant
Shocked expression,1044XT2g7r37lm,Moderately Relevant
Shocked expression,104v6Qd66phU3u,Not Relevant
Laughing out loud,14gjmr7pDMzPXy,Highly Relevant
Laughing out loud,26BRFTI2otNMxbxFm,Moderately Relevant
Laughing out loud,26BRGU0K1aCxaIDEk,Not Relevant
Best Friends,2JEcU3fHZcjGU,Highly Relevant
Best Friends,26FPxK7LVhEHammiY,Moderately Relevant
Best Friends,1000eGIbYHercI,Not Relevant
Embarrassing moment,26FxuliqWKDPALJxC,Highly Relevant
Embarrassing moment,3hWIYUKkZF2Le,Moderately Relevant
Embarrassing moment,2wKbtCMHTVoOY,Not Relevant
Awkward,106cqwD4WrDjJm,Highly Relevant
Awkward,10bSDvU0lpSous,Moderately Relevant
Awkward,26AHPBlp0PvWelu5q,Not Relevant
Frustrated and annoyed,13IxPioJ2OYkLe,Highly Relevant
Frustrated and annoyed,103HJZ0KmjvW0w,Moderately Relevant
Frustrated and annoyed,106OwMcXJSwwoM,Not Relevant
Nostalgia,1zYaclgOyFWFi,Highly Relevant
Nostalgia,31Ijwt4MTxR16,Moderately Relevant
Nostalgia,11iuRh95rGa7G8,Not Relevant
Showing confidence,3o6EhHuBVfj5BHzNDi,Moderately Relevant
Showing confidence,3o6ozpHTI4h95FrNPa,Highly Relevant
Showing confidence,3o6ozplkCL8aNEvVG8,Not Relevant
Pure awe and wonder,126JkJ57kf9yNO,Highly Relevant
Pure awe and wonder,111vQKM6ngptzW,Moderately Relevant
Pure awe and wonder,3o6MbdSsFigfdT7Al2,Not Relevant
Feeling tired or sleepy,3o6MbdSsFigfdT7Al2,Highly Relevant
Feeling tired or sleepy,26FPv58ybswhYCKo8,Moderately Relevant
Feeling tired or sleepy,2biLMXymSzpcI,Not Relevant
Mourning a loss,13emMP1YXgAYBq,Highly Relevant
Mourning a loss,11to0BJhUkcsJ,Moderately Relevant
Mourning a loss,3o72F4JUphdbe0LVJK,Not Relevant
A sincere apology,3o85xHtQnF5qtOPPyg,Highly Relevant
A sincere apology,13LRa5lQRzB2Bq,Moderately Relevant
A sincere apology,13kmtkZj2q65Da,Not Relevant
A speech,3o7TKoMQFeH5mQeX1,Highly Relevant
A speech,129TzPNTXNJ2H6,Moderately Relevant
A speech,2yKXIJyTDdsTm,Not Relevant
Romance,11nJkEbtgXPpnO,Highly Relevant
Romance,3o85xmDqCXBisgWvfO,Moderately Relevant
Romance,2d24YHuM73Kgg,Not Relevant
A comedic punchline,11k0LqGxhsqnra,Highly Relevant
A comedic punchline,3o85xn0xBlCzQZvhYs,Moderately Relevant
A comedic punchline,12gdgqRk9cvWko,Not Relevant
A heartfelt goodbye,13r6ty71MGoBfG,Highly Relevant
A heartfelt goodbye,13pWYE5jCIZnCo,Moderately Relevant
A heartfelt goodbye,13PZ0dKw1J3LzO,Not Relevant
