,Web Archive Link,GIPHY Title
0,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1000eGIbYHercI/giphy.gif,slipper GIF
1,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1000fHsBSKSL6w/giphy.gif,swag hustling GIF
2,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1000WjcUQeqOaY/giphy.gif,jennifer lawrence salute GIF
3,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1003Kuq13ICXDO/giphy.gif,love happy GIF
4,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1004D5v8Dbe6cw/giphy.gif,visual album beyonce GIF
5,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1004Eqp3k9U6KQ/giphy.gif,the muppets nodding GIF
7,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1007d28L3ZIjRe/giphy.gif,bread eating GIF
8,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100afL9qoUSWSQ/giphy.gif,happy new england patriots GIF
9,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100ak1Sn7F3ius/giphy.gif,michael jackson dancing GIF
10,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100buaImlNtEuk/giphy.gif,absolutely fabulous GIF
11,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100d6UtqKnuNuU/giphy.gif,inuyasha GIF
12,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100hiniRFKa3OE/giphy.gif,cat watching GIF
13,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100J4cu5UbCnVm/giphy.gif,american crime story acs GIF
14,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100JPq1ylYXEti/giphy.gif,film GIF by The LEGO Movie
17,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100ozIfJLGEyxW/giphy.gif,the mask flirting GIF
18,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100PvT5qaOSre0/giphy.gif,game show spinning GIF
19,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100SPyKImgpJMQ/giphy.gif,stevie wonder deal with it GIF
20,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100VaOqtBYDKWk/giphy.gif,hotarubi no mori e prank GIF
21,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100vEHquJ6YF8c/giphy.gif,contemporary art sculpture GIF by Art21
23,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100YmlniUkSv84/giphy.gif,the little mermaid yes GIF
24,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1016s18YuHLF7O/giphy.gif,intertitle GIF
25,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/101auwpSHzVZkI/giphy.gif,stupid fire GIF
26,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/101FpUfWiGZFVm/giphy.gif,foam GIF
27,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/101FTJFnTnNi5W/giphy.gif,the office dancing GIF
28,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/101HsDIQTwNWHm/giphy.gif,carrie fisher Tarkin GIF
29,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/101izfySJ8O6l2/giphy.gif,mickey mouse disney GIF
30,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/101LwkhoDGH6Jq/giphy.gif,real housewives of orange county GIF
31,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/101xfknlDa4WnC/giphy.gif,pretty little liars bloopers GIF
32,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/101YJMkMHSBfZC/giphy.gif,doctor who GIF
33,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1021DUGV8hW2qI/giphy.gif,heidi montag selfie GIF
34,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1021HlF4UYLgwU/giphy.gif,the producers film GIF
35,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10237jxmIQQhaM/giphy.gif,game of thrones GIF
36,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1025ods881eE7e/giphy.gif,fresh off the boat minorities GIF
37,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1026uGcStaInmM/giphy.gif,sassy taraji p henson GIF
38,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1026x5Ybk81eRW/giphy.gif,predator GIF
39,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1028QpEkAHcNig/giphy.gif,new GIF
40,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1029PXfSnBt3H2/giphy.gif,sweden reporting GIF
41,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/102C5uYlEbeJfG/giphy.gif,tech apple watch GIF
42,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102cJamHjyLgA0/giphy.gif,mad juliette barnes GIF
44,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102e3GeB5j4Mzm/giphy.gif,toilet paper cat GIF
45,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/102j0P05ns70NW/giphy.gif,twin peaks black lodge GIF
